State|Capital|Capital Since|Area (mi2)|Population (2019 est.)|MSA/µSA Population (2019 est.)|CSA Population (2019 est.)|Rank in State (city proper)|url
Alabama|Montgomery|1846|159.8|198,525|373,290|461,516|2|https://en.wikipedia.org/wiki/Montgomery,_Alabama
Alaska|Juneau|1906|2716.7|32,113|32,113||3|https://en.wikipedia.org/wiki/Juneau,_Alaska
Arizona|Phoenix|1912|517.6|1,680,992|4,948,203|5,002,221|1|https://en.wikipedia.org/wiki/Phoenix,_Arizona
Arkansas|Little Rock|1821|116.2|197,312|742,384|908,941|1|https://en.wikipedia.org/wiki/Little_Rock,_Arkansas
California|Sacramento|1854|97.9|513,624|2,363,730|2,639,124|6|https://en.wikipedia.org/wiki/Sacramento,_California
Colorado|Denver|1867|153.3|727,211|2,967,239|3,617,927|1|https://en.wikipedia.org/wiki/Denver
Connecticut|Hartford|1875|17.3|122,105|1,204,877|1,470,083|3|https://en.wikipedia.org/wiki/Hartford,_Connecticut
Delaware|Dover|1777|22.4|38,079|180,786|7,209,620|2|https://en.wikipedia.org/wiki/Dover,_Delaware
Florida|Tallahassee|1824|95.7|194,500|387,227||7|https://en.wikipedia.org/wiki/Tallahassee,_Florida
Georgia|Atlanta|1868|133.5|506,811|6,020,364|6,853,392|1|https://en.wikipedia.org/wiki/Atlanta
Hawaii|Honolulu|1845|68.4|345,064|974,563||1|https://en.wikipedia.org/wiki/Honolulu
Idaho|Boise|1865|63.8|228,959|749,202|831,235|1|https://en.wikipedia.org/wiki/Boise,_Idaho
Illinois|Springfield|1837|54.0|114,230|206,868|306,399|6|https://en.wikipedia.org/wiki/Springfield,_Illinois
Indiana|Indianapolis|1825|361.5|876,384|2,074,537|2,457,286|1|https://en.wikipedia.org/wiki/Indianapolis
Iowa|Des Moines|1857|75.8|214,237|699,292|877,991|1|https://en.wikipedia.org/wiki/Des_Moines,_Iowa
Kansas|Topeka|1856|56.0|125,310|231,969||4|https://en.wikipedia.org/wiki/Topeka,_Kansas
Kentucky|Frankfort|1792|14.7|27,679|73,663|745,033|15|https://en.wikipedia.org/wiki/Frankfort,_Kentucky
Louisiana|Baton Rouge|1880|76.8|220,236|854,884||2|https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana
Maine|Augusta|1832|55.4|18,681|122,302||8|https://en.wikipedia.org/wiki/Augusta,_Maine
Maryland|Annapolis|1694|6.73|39,174|2,800,053|9,814,928|7|https://en.wikipedia.org/wiki/Annapolis,_Maryland
Massachusetts|Boston|1630|89.6|692,600|4,873,019|8,287,710|1|https://en.wikipedia.org/wiki/Boston
Michigan|Lansing|1847|35.0|118,210|550,391||5|https://en.wikipedia.org/wiki/Lansing,_Michigan
Minnesota|Saint Paul|1849|52.8|308,096|3,654,908|4,027,861|2|https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota
Mississippi|Jackson|1821|104.9|160,628|594,806|674,340|1|https://en.wikipedia.org/wiki/Jackson,_Mississippi
Missouri|Jefferson City|1826|27.3|42,838|151,235||15|https://en.wikipedia.org/wiki/Jefferson_City,_Missouri
Montana|Helena|1875|14.0|32,315|77,414||6|https://en.wikipedia.org/wiki/Helena,_Montana
Nebraska|Lincoln|1867|74.6|289,102|336,374|357,887|2|https://en.wikipedia.org/wiki/Lincoln,_Nebraska
Nevada|Carson City|1861|143.4|55,916|55,916|637,973|6|https://en.wikipedia.org/wiki/Carson_City,_Nevada
New Hampshire|Concord|1808|64.3|43,627|151,391|8,287,710|3|https://en.wikipedia.org/wiki/Concord,_New_Hampshire
New Jersey|Trenton|1784|7.66|83,203|367,430|22,589,036|10|https://en.wikipedia.org/wiki/Trenton,_New_Jersey
New Mexico|Santa Fe|1610|37.3|84,683|150,358|1,158,464|4|https://en.wikipedia.org/wiki/Santa_Fe,_New_Mexico
New York|Albany|1797|21.4|96,460|880,381|1,167,594|6|https://en.wikipedia.org/wiki/Albany,_New_York
North Carolina|Raleigh|1792|114.6|474,069|1,390,785|2,079,687|2|https://en.wikipedia.org/wiki/Raleigh,_North_Carolina
North Dakota|Bismarck|1883|26.9|73,529|128,949||2|https://en.wikipedia.org/wiki/Bismarck,_North_Dakota
Ohio|Columbus|1816|210.3|898,553|2,122,271|2,525,639|1|https://en.wikipedia.org/wiki/Columbus,_Ohio
Oklahoma|Oklahoma City|1910|620.3|655,057|1,408,950|1,481,542|1|https://en.wikipedia.org/wiki/Oklahoma_City
Oregon|Salem|1855|45.7|174,365|433,903|3,259,710|3|https://en.wikipedia.org/wiki/Salem,_Oregon
Pennsylvania|Harrisburg|1812|8.11|49,528|577,941|1,271,801|9|https://en.wikipedia.org/wiki/Harrisburg,_Pennsylvania
Rhode Island|Providence|1900|18.5|179,883|1,624,578|8,287,710|1|https://en.wikipedia.org/wiki/Providence,_Rhode_Island
South Carolina|Columbia|1786|125.2|131,674|838,433|963,048|2|https://en.wikipedia.org/wiki/Columbia,_South_Carolina
South Dakota|Pierre|1889|13.0|13,646|20,672||8|https://en.wikipedia.org/wiki/Pierre,_South_Dakota
Tennessee|Nashville|1826|525.9|670,820|1,934,317|2,062,547|1|https://en.wikipedia.org/wiki/Nashville,_Tennessee
Texas|Austin|1839|305.1|978,908|2,227,083||4|https://en.wikipedia.org/wiki/Austin,_Texas
Utah|Salt Lake City|1858|109.1|200,567|1,232,696|2,641,048|1|https://en.wikipedia.org/wiki/Salt_Lake_City
Vermont|Montpelier|1805|10.2|7,855|||6|https://en.wikipedia.org/wiki/Montpelier,_Vermont
Virginia|Richmond|1780|60.1|230,436|1,291,900||4|https://en.wikipedia.org/wiki/Richmond,_Virginia
Washington|Olympia|1853|16.7|46,478|290,536|4,903,675|24|https://en.wikipedia.org/wiki/Olympia,_Washington
West Virginia|Charleston|1885|31.6|46,536|257,074|776,694|1|https://en.wikipedia.org/wiki/Charleston,_West_Virginia
Wisconsin|Madison|1838|68.7|259,680|664,865|892,661|2|https://en.wikipedia.org/wiki/Madison,_Wisconsin
Wyoming|Cheyenne|1869|21.1|64,235|99,500||1|https://en.wikipedia.org/wiki/Cheyenne,_Wyoming
